Driver,Position,Value,Bahrain GP,Saudi Arabia GP,Australian GP,Japanes GP,Chinese GP,Miami GP
VER,1,30.3,164,164,FAI,168,188,183
PER,2,29.2,176,174,160,163,176,165
NOR,3,28.7,140,131,161,150,188,187
LEC,4,28.2,157,168,172,155,168,179
SAI,5,26.3,164,DNR,185,159,160,164
RUS,6,22.2,152,140,104;DNF,138,158,138
ALO,7,21.6,132,165,104,150,151,140
HAM,8,20.1,136,124,FAI,126,150,152
PIA,9,19.7,127,162,158,131,147,131
HUL,10,15.2,99,133,140,119,132,140
TSU,11,14.9,103,106,150,127,68;DNF,168
OCO,12,13.2,86,111,89,94,126,132
GAS,13,11.8,79,59;DNF,108,88,110,121
STR,14,11.5,121,78;DNF,151,111,107,96
ALB,15,11.1,101,119,115,67;DNF,120,95
ZHO,16,9.1,130,79,96,FAI,118,117
RIC,17,8.6,105,91,115,76;DNF,95;DNF,112
MAG,18,7.8,121,114,133,109,99,75
BOT,19,5.7,78,86,103,108,FAI,94
SAR,20,4,71,104,DNR,86,88,75;DNF